@tick,heap MiB
1,895.7937622070312
2,907.2971801757812
3,921.7937622070312
4,562.6784057617188
5,570.290771484375
6,588.290771484375
7,602.2958374023438
8,611.290771484375
9,626.7937622070312
10,639.790771484375
11,654.290771484375
12,663.290771484375
13,677.290771484375
14,706.290771484375
15,717.290771484375
16,732.790771484375
17,742.290771484375
18,759.790771484375
19,768.790771484375
20,779.1541748046875
21,796.290771484375
22,809.290771484375
23,825.6717529296875
24,857.3028564453125
25,868.3072509765625
26,873.290771484375
27,892.290771484375
28,908.790771484375
29,920.790771484375
30,572.7225952148438
31,585.7628173828125
32,605.2628173828125
33,629.2628173828125
34,643.2628173828125
35,653.7628173828125
36,665.7469482421875
37,679.7628173828125
38,684.2469482421875
39,690.2628173828125
40,701.2469482421875
41,710.2628173828125
42,714.6378784179688
43,723.7628173828125
44,736.2628173828125
45,744.7628173828125
46,751.7628173828125
47,763.2628173828125
48,769.2628173828125
49,783.2628173828125
50,803.7628173828125
51,817.2628173828125
52,828.7628173828125
53,847.7628173828125
54,870.268798828125
55,880.7628173828125
56,893.7628173828125
57,906.7628173828125
58,921.2628173828125
59,929.7628173828125
60,576.6563110351562
61,592.0313110351562
62,608.1563110351562
63,617.1592407226562
64,639.1563110351562
65,654.1563110351562
66,665.1563110351562
67,681.1563110351562
68,700.1563110351562
69,714.6563110351562
70,729.678955078125
71,742.1563110351562
72,763.1563110351562
73,774.6563110351562
74,787.1563110351562
75,807.1563110351562
76,836.9063110351562
77,859.1614379882812
78,874.6563110351562
79,888.6563110351562
80,908.6563110351562
81,580.6312255859375
82,597.1563110351562
83,614.6915893554688
84,627.16015625
85,644.6622314453125
86,661.1563110351562
87,678.1563110351562
88,696.1563110351562
89,723.1563110351562
90,742.6563110351562
91,760.6563110351562
92,803.176513671875
93,827.1563110351562
94,849.6563110351562
95,860.1563110351562
96,876.6563110351562
97,889.1563110351562
98,909.7813110351562
99,928.1563110351562
100,579.5
101,597.5
102,618.5
103,632.5
104,641.5
105,662.0
106,679.5
107,694.0
108,705.0
109,721.0
110,761.5
111,776.5
112,798.0
113,816.0
114,834.5
115,848.5
116,868.75
117,882.5250244140625
118,899.0
119,918.0
120,583.5
121,599.0059814453125
122,608.5
123,618.5
124,626.0
125,644.51171875
126,652.5
127,658.5
128,670.0
129,675.0233154296875
130,684.0
131,693.5
132,707.0
133,717.0039672851562
134,724.0
135,739.5
136,750.5
137,763.0
138,776.5
139,787.015625
140,804.5
141,816.5
142,842.5
143,858.0
144,875.0
145,904.0
146,915.024658203125
147,577.0
148,586.9356689453125
149,598.5
150,609.5
151,622.0
152,649.4678344726562
153,674.0
154,689.4678344726562
155,697.5
156,710.0040283203125
157,725.5
158,755.5
159,779.5228881835938
160,786.0192260742188
161,796.0
162,813.5
163,830.0
164,844.0
165,864.0
166,884.9678344726562
167,902.9678344726562
168,915.5
169,582.3092041015625
170,606.801513671875
171,629.801513671875
172,654.801513671875
173,670.801513671875
174,692.801513671875
175,711.801513671875
176,735.801513671875
177,747.3092651367188
178,765.1826782226562
179,814.301513671875
180,827.8076171875
181,841.801513671875
182,867.301513671875
183,892.301513671875
184,904.801513671875
185,926.3170166015625
186,591.4164428710938
187,605.4015502929688
188,654.4354858398438
189,675.9164428710938
190,694.4164428710938
191,716.386962890625
192,731.8419189453125
193,746.4224243164062
194,758.9164428710938
195,802.386962890625
196,828.9164428710938
197,840.9015502929688
198,856.4164428710938
199,866.54150390625
200,881.4015502929688
201,893.26171875
202,910.386962890625
203,924.886962890625
204,585.65966796875
205,595.1077880859375
206,601.15966796875
207,607.65966796875
208,617.15966796875
209,626.65966796875
210,639.15966796875
211,649.15966796875
212,674.65966796875
213,705.65966796875
214,720.15966796875
215,731.15966796875
216,741.65966796875
217,773.15966796875
218,794.65966796875
219,813.65966796875
220,832.15966796875
221,846.65966796875
222,873.15966796875
223,886.65966796875
224,901.65966796875
225,914.65966796875
226,929.65966796875
227,594.15966796875
228,604.65966796875
229,619.15966796875
230,630.65966796875
231,648.65966796875
232,661.65966796875
233,675.65966796875
234,694.15966796875
235,704.65966796875
236,714.65966796875
237,727.15966796875
238,760.65966796875
239,780.15966796875
240,791.65966796875
241,801.1300659179688
242,807.65966796875
243,840.65966796875
244,857.65966796875
245,875.15966796875
246,882.65966796875
247,896.15966796875
248,910.1643676757812
249,914.15966796875
250,921.65966796875
251,593.29931640625
252,614.810546875
253,619.7904052734375
254,628.7904052734375
255,639.2904052734375
256,651.2904052734375
257,671.7904052734375
258,681.2904052734375
259,696.3380126953125
260,706.7904052734375
261,721.2933349609375
262,730.7904052734375
263,741.7904052734375
264,752.7904052734375
265,765.7904052734375
266,780.2904052734375
267,792.2962646484375
268,805.2904052734375
269,815.7904052734375
270,826.7904052734375
271,839.2933349609375
272,852.2904052734375
273,868.7904052734375
274,887.7904052734375
275,904.2904052734375
276,922.2904052734375
277,596.2159423828125
278,626.7379150390625
279,668.2159423828125
280,689.7159423828125
281,713.2159423828125
282,726.23583984375
283,743.7159423828125
284,760.2159423828125
285,777.2159423828125
286,794.341064453125
287,812.7159423828125
288,825.7159423828125
289,847.2159423828125
290,867.7159423828125
291,883.7159423828125
292,899.1503295898438
293,924.2159423828125
294,595.58740234375
295,614.1031494140625
296,639.1039428710938
297,657.1039428710938
298,674.1195068359375
299,688.6113891601562
300,710.1039428710938
301,722.6113891601562
302,758.1039428710938
303,783.1039428710938
304,801.6039428710938
305,826.479248046875
306,857.0850219726562
307,873.97705078125
308,893.0861206054688
309,915.1195068359375
310,929.6253051757812
311,596.0
312,613.5516357421875
313,625.0
314,653.0127563476562
315,659.0118408203125
316,672.5
317,681.0
318,698.8043212890625
319,706.0
320,716.5
321,726.3740234375
322,736.510498046875
323,745.5
324,764.8740234375
325,778.5
326,790.5
327,800.510498046875
328,813.5
329,828.9039916992188
330,846.5059814453125
331,860.5
332,880.9039306640625
333,891.909912109375
334,902.5
335,928.5
336,607.30810546875
337,621.32373046875
338,637.7349853515625
339,653.0
340,663.0
341,676.30810546875
342,696.4193725585938
343,727.0
344,743.0
345,754.3826293945312
346,763.80810546875
347,788.3826904296875
348,809.7181396484375
349,827.3826293945312
350,841.82470703125
351,860.32373046875
352,875.3872680664062
353,888.5
354,899.9134521484375
355,910.826904296875
356,602.4765625
357,616.5231323242188
358,635.4765625
359,649.3701782226562
360,666.4058837890625
361,685.0231323242188
362,700.5231323242188
363,714.9563598632812
364,725.5231323242188
365,748.4058837890625
366,757.4765625
367,773.4765625
368,795.4510498046875
369,808.5231323242188
370,822.9765625
371,839.404541015625
372,855.4510498046875
373,878.0231323242188
374,891.5231323242188
375,905.5231323242188
376,926.0231323242188
377,599.3770751953125
378,611.0
379,637.4789428710938
380,655.5
381,674.9661865234375
382,691.5
383,707.975341796875
384,729.475341796875
385,749.9661254882812
386,769.4788818359375
387,790.0197143554688
388,815.5
389,837.8750610351562
390,849.4385375976562
391,869.4385375976562
392,888.0
393,904.0
394,917.5
395,593.9566650390625
396,609.9988403320312
397,628.9988403320312
398,646.4988403320312
399,653.9988403320312
400,662.9988403320312
401,668.4988403320312
402,680.4988403320312
403,693.4988403320312
404,705.0017700195312
405,714.9988403320312
406,726.0
407,740.0
408,750.0
409,762.0
410,775.0059814453125
411,795.0
412,807.0
413,817.5234375
414,835.5
415,858.5
416,869.5
417,879.0
418,894.5
419,916.5
420,927.5
421,614.8412475585938
422,622.3382568359375
423,634.8382568359375
424,647.8369140625
425,664.3382568359375
426,679.3382568359375
427,695.8382568359375
428,730.3382568359375
429,749.31201171875
430,764.81201171875
431,776.8796997070312
432,797.3382568359375
433,810.8382568359375
434,826.8382568359375
435,844.8382568359375
436,860.3538208007812
437,870.3538208007812
438,879.8382568359375
439,892.8382568359375
440,928.0882568359375
441,604.9895629882812
442,627.969482421875
443,639.2920532226562
444,660.4498901367188
445,682.469482421875
446,694.9895629882812
447,716.4895629882812
448,742.4508666992188
449,754.4895629882812
450,771.9895629882812
451,807.4895629882812
452,824.9895629882812
453,842.4895629882812
454,859.199951171875
455,885.469482421875
456,901.497314453125
457,914.9895629882812
458,929.4895629882812
459,603.3609008789062
460,619.3609008789062
461,636.3756713867188
462,657.3609008789062
463,680.8609008789062
464,688.8609008789062
465,704.3609008789062
466,748.8609008789062
467,787.8609008789062
468,801.8609008789062
469,833.3609008789062
470,879.8609008789062
471,890.750732421875
472,898.8609008789062
473,923.3609008789062
474,603.6195068359375
475,621.2471923828125
476,645.7979736328125
477,662.7205810546875
478,678.8092651367188
479,685.8092651367188
480,697.8092651367188
481,710.5592651367188
482,741.8092651367188
483,770.717529296875
484,786.8092651367188
485,803.2979125976562
486,827.8092651367188
487,854.3092651367188
488,872.8092651367188
489,884.8092651367188
490,892.3092651367188
491,907.717529296875
492,920.3092651367188
493,936.5711059570312
494,605.3163452148438
495,619.3203125
496,640.3163452148438
497,656.3163452148438
498,696.81982421875
499,711.8203125
500,746.8163452148438
501,758.8163452148438
502,776.19140625
503,787.8163452148438
504,802.3163452148438
505,818.33935546875
506,836.3199462890625
507,851.8163452148438
508,862.8163452148438
509,878.3163452148438
510,901.94140625
511,921.3163452148438
512,930.851806640625
513,613.516845703125
514,634.016845703125
515,643.3919067382812
516,655.516845703125
517,664.516845703125
518,676.513916015625
519,689.016845703125
520,705.016845703125
521,719.513916015625
522,743.0162963867188
523,753.5142822265625
524,769.5162963867188
525,786.0138549804688
526,806.0138549804688
527,815.516845703125
528,828.0227661132812
529,837.016845703125
530,852.8919067382812
531,865.516845703125
532,875.016845703125
533,886.516845703125
534,898.516845703125
535,909.016845703125
536,922.016845703125
537,614.0198364257812
538,643.016845703125
539,659.016845703125
540,682.0049438476562
541,694.035400390625
542,716.5420532226562
543,728.05810546875
544,736.016845703125
545,750.516845703125
546,769.516845703125
547,775.516845703125
548,787.85302734375
549,808.516845703125
550,829.516845703125
551,841.516845703125
552,870.9893798828125
553,889.016845703125
554,924.2669067382812
555,950.5372314453125
556,611.086181640625
557,632.2477416992188
558,645.2477416992188
559,660.7477416992188
560,682.7477416992188
561,697.2543334960938
562,720.7477416992188
563,734.7477416992188
564,750.2543334960938
565,765.7477416992188
566,805.7477416992188
567,827.2543334960938
568,845.7123413085938
569,861.2477416992188
570,890.2633056640625
571,905.2633056640625
572,922.7477416992188
573,935.2477416992188
574,947.7477416992188
575,609.1458740234375
576,627.8958740234375
577,639.3958740234375
578,660.4113159179688
579,678.8958740234375
580,695.8958740234375
581,707.3958740234375
582,721.8958740234375
583,743.3958740234375
584,760.8958740234375
585,767.3958740234375
586,779.3958740234375
587,798.3958740234375
588,807.8958740234375
589,814.8958740234375
590,838.8560180664062
591,852.8958740234375
592,857.3200073242188
593,868.3428955078125
594,879.8200073242188
595,898.3958740234375
596,910.7984008789062
597,923.3958740234375
598,616.8958740234375
599,625.875732421875
600,640.8958740234375
601,647.3358154296875
602,655.3958740234375
603,658.8958740234375
604,665.90185546875
605,676.9173583984375
606,699.8958740234375
607,713.3358154296875
608,722.85400390625
609,733.85498046875
610,778.7290649414062
611,799.7683715820312
612,808.7683715820312
613,821.7683715820312
614,834.2683715820312
615,852.3958740234375
616,866.3074340820312
617,879.7709350585938
618,892.3958740234375
619,913.3358154296875
620,932.3765258789062
621,944.8958740234375
622,958.3765258789062
623,627.6181030273438
624,636.6541748046875
625,649.1541748046875
626,661.6541748046875
627,674.6541748046875
628,687.6171264648438
629,723.1590576171875
630,740.1541748046875
631,752.6541748046875
632,765.1541748046875
633,800.590576171875
634,808.0292358398438
635,818.1541748046875
636,824.6541748046875
637,846.1696166992188
638,857.6301879882812
639,877.6541748046875
640,894.1541748046875
641,903.6541748046875
642,918.6541748046875
643,627.251708984375
644,656.82080078125
645,693.7516479492188
646,723.32080078125
647,739.82080078125
648,757.32080078125
649,806.251708984375
650,816.82080078125
651,837.82080078125
652,856.32080078125
653,875.82080078125
654,891.4458618164062
655,919.82080078125
656,931.32080078125
657,941.82080078125
658,956.32080078125
659,974.82080078125
660,640.7929077148438
661,666.7929077148438
662,682.2929077148438
663,692.2929077148438
664,705.7929077148438
665,724.7929077148438
666,740.2929077148438
667,758.7929077148438
668,775.2929077148438
669,786.7929077148438
670,809.7929077148438
671,826.2929077148438
672,842.2929077148438
673,860.7929077148438
674,886.2929077148438
675,900.2929077148438
676,916.7929077148438
677,945.7929077148438
678,952.2929077148438
679,972.2929077148438
680,631.7257080078125
681,644.2257080078125
682,664.2257080078125
683,678.7257080078125
684,692.7257080078125
685,712.2257080078125
686,760.2257080078125
687,785.2257080078125
688,796.7211303710938
689,819.7257080078125
690,832.2257080078125
691,846.7257080078125
692,874.2257080078125
693,901.7257080078125
694,918.232177734375
695,935.7412719726562
696,956.2244873046875
697,968.7257080078125
698,628.8372802734375
699,646.4622192382812
700,666.9622192382812
701,684.9622192382812
702,705.4835815429688
703,710.507080078125
704,715.4710693359375
705,730.9622192382812
706,741.9622192382812
707,750.4622192382812
708,765.4622192382812
709,773.9622192382812
710,787.7122192382812
711,809.9622192382812
712,831.9622192382812
713,864.9622192382812
714,874.9622192382812
715,887.9622192382812
716,901.4622192382812
717,916.9622192382812
718,933.9622192382812
719,954.4622192382812
720,965.4622192382812
721,629.2067260742188
722,647.2067260742188
723,664.189697265625
724,676.72216796875
